Country,Date,Sex,CumEpi,CumExc,CumPos,Exposure
Israel,2020-04-12,b,191.62778668887466,325.1285383175573,469.91701117962083,1160248.2635986556
Israel,2020-04-19,b,208.83891013442974,387.3413300417918,538.8822104769606,1326198.915054798
Israel,2020-04-26,b,208.83891013442974,430.5095774526203,604.2611768073242,1492199.780261926
Israel,2020-05-03,b,208.83891013442974,412.5774816532129,629.4878682089154,1658250.856473097
Israel,2020-05-10,b,208.83891013442974,428.37234386492065,674.7733768616221,1824352.1413262428
Israel,2020-05-17,b,208.83891013442974,441.61141825179254,701.2657582421558,1990503.6328441682
Israel,2020-05-24,b,306.8818287005059,574.9099045670843,840.5590130422933,2156705.3294345527
Israel,2020-05-31,b,306.8818287005059,592.7897563254622,882.9212063069472,2322957.2298899502
Israel,2020-06-07,b,306.8818287005059,587.6890151089009,905.7666769833274,2489259.333387787
Israel,2020-06-14,b,306.8818287005059,563.9714260448281,918.7062974791336,2655611.6394903655
Israel,2020-06-21,b,306.8818287005059,552.9361395001672,935.9633160564438,2822014.1481448608
Israel,2020-06-28,b,306.8818287005059,531.8273560096294,952.4554456372625,2988466.8596833223
Israel,2020-07-05,b,306.8818287005059,512.8438269286906,963.9812299185153,3154969.774400066
Israel,2020-07-12,b,306.8818287005059,554.1481537688996,1030.6208805845572,3321522.892295093
Israel,2020-07-19,b,306.8818287005059,596.8758868204193,1088.3816492849287,3488126.2133684014
Israel,2020-07-26,b,306.8818287005059,621.1444631671116,1120.3475331355776,3654779.7376199923
Israel,2020-08-02,b,447.58668604182304,765.0620352430448,1270.4750105552773,3821483.4650498657
Israel,2020-08-09,b,504.3039732551028,830.7362645311722,1355.2190740193178,3988237.395658022
Israel,2020-08-16,b,594.4423538084018,978.2831631588537,1511.154425031116,4155041.5294444603
Israel,2020-08-23,b,687.514517080102,1088.836064815241,1633.3932320585195,4321895.866409181
Israel,2020-08-30,b,738.3576041751375,1184.5547955643553,1740.6882377115426,4488800.406552183
Israel,2020-09-06,b,755.2202559597852,1271.635094908076,1838.9322126800578,4655755.149873469
Israel,2020-09-13,b,844.231510900248,1421.3183082534372,1996.728577347773,4822760.096373037
Israel,2020-09-20,b,1000.3980288860312,1605.901334455262,2187.675384157165,4989815.246050888
Israel,2020-09-27,b,1179.2008097727553,1805.7467674352852,2402.783997281987,5156920.59890702
Israel,2020-10-04,b,1364.9857266011368,1982.2931206156431,2595.516034478697,5324076.154941435
Israel,2020-10-11,b,1623.3321121452102,2253.064969218259,2868.493897635816,5491281.914154133
Israel,2020-10-18,b,1872.1849238474028,2482.6827911631617,3123.682352502804,5658537.876545113
Israel,2020-10-25,b,2014.1011257313967,2671.8722357449296,3316.0375372150597,5825844.042114374
Israel,2020-11-01,b,2022.094920837615,2731.4725043843846,3385.579894415607,5993200.410861919
Israel,2020-11-08,b,2050.761604564662,2760.4434937714177,3435.3532067356487,6160606.982787746
Israel,2020-11-15,b,2050.761604564662,2686.8713328981785,3460.031392714371,6328063.757891855
Israel,2020-11-22,b,2050.761604564662,2723.971945753461,3505.938220899479,6495570.736174247
Israel,2020-11-29,b,2050.761604564662,2755.0922939550574,3568.4271189192664,6663127.917634921
Israel,2020-12-06,b,2074.9407978581116,2770.709000249931,3610.3637648369495,6830735.302273877
Israel,2020-12-13,b,2074.9407978581116,2819.4241248743015,3676.854344714075,6998392.890091117
Israel,2020-12-20,b,2123.092602604598,2895.957960533839,3760.091519991543,7166100.681086638
Israel,2020-12-27,b,2168.2691678439533,2979.1388244235764,3865.383608771361,7333858.675260441
Israel,2021-01-03,b,2332.195839237643,3183.8899514027794,4074.492034014027,7501666.872612528
Israel,2021-01-10,b,2592.1513724291453,3454.2137235939554,4349.332405214358,7669525.273142896
Israel,2021-01-17,b,2874.3285882677524,3762.1735995421795,4662.932566351267,7837433.876851547
Israel,2021-01-24,b,3220.3091152020556,4091.874221491051,5013.616171195051,8005392.683738479
Israel,2021-01-31,b,3537.161459831049,4434.440273599212,5358.285983241777,8173401.693803695
Israel,2021-02-07,b,3756.6252427083728,4710.994729667858,5635.3425114934,8341460.9070471935
Israel,2021-02-14,b,3867.379798167626,4901.637160924144,5826.739991020852,8509570.323468974
Israel,2021-02-21,b,3892.738912257469,4981.422770045688,5910.022987543408,8677729.943069037
